Username,First Name,Last Name,Email,Phone,Age
jsmith,John,Smith,jsmith@email.com,555-1234,20
mjones,Mary,Jones,mjones@email.com,555-5678,63
abrown,Alice,Brown,abrown@email.com,555-9012,87
tjohnson,Tom,Johnson,tjohnson@email.com,555-3456,45
swilliams,Sarah,Williams,swilliams@email.com,555-7890,26
rwilliams,Rachel,Williams,rwilliams@email.com,555-2468,64
danderson,David,Anderson,danderson@email.com,555-1357,21
lthomas,Laura,Thomas,lthomas@email.com,555-8023,12
mrodriguez,Michael,Rodriguez,mrodriguez@email.com,NULL,46
kcollins,Kelly,Collins,kcollins@email.com,555-6432,23
